,0
0,The person who knows the value of transitory possessions. Materialistic world makes people greedy.
1,वा अति आनन्द लाग्ने कुरा
2,"कति राम्रो सकारात्मक कुरा हरु गर्नु हुन्छ स्वामी जि ले, कति महान कुरा हरु छ कति धेरै आइडिया छ  उहाँ सङ साच्चै उहाले भन्नु भएको कुरा गम्भीर मनन गरेर अघि बड्ने  हो भने कोहि पनि दुखी हुदैन ,कोहि पनि गरिब हुदैन ।"
3,"Sadhai rajnitiko kura sunera dikka aja swamijyuko kura sunera ananda ayo,, ma pani regular vipasyana or gumbama dhyan garne ho Osho Ashrama hoina but hindu buddhist sabaiko mutual understanding hunparxa sabaile sabaiko respect garnuparxa"
4,Good interviews
5,Malai derai ramro lagyo swami jeu lai kaha kasari betna sakinx hola plz bataidunu hola
6,wow nice
7,यदि समाधि प्राप्त भएपछि सबै लाइ हेर्ने दृस्टी समान हुनछन भन्नु हुन्छ त्यो अवस्थामा गुरु र चेला को पनि कुनै दुरी हुन्छ र ?
8,Yo ni khate ra6 bikhari
9,"Let's do it..
Swami ji ko Yog Ra meditation export garney Kura gajab cha.."
10,"in reference to this informant, Nepal gvmt must indict so called swami Anand Arun  without any delay and  throw him in the prison for life like India did against Ram Pal . Ram Rahim and Asharam Bapu. Time has come .

""duniyaan ka chhori buhaari haru lai galat batoma po lagaairaheko rahe chha ta yinle, k k po sunnu parchha? nari ko ijjwat siyoko tuppama hunchha. tyatro khelbaad vairaheko rahechha.""
 
Rabi Lamichhane, Rishi Dhamal , Nepal Police, Mahilaa Aaayog, aam nagarik etl tu action garnu paryo."
11,100% sahi  ho.
12,https://youtu.be/Pysg9CPf_Vk
13,NTV le yesto fataha laai interview liyera galat kaam gareko ??
14,https://www.youtube.com/watch?v=Pysg9CPf_Vk
15,Rara is more beautiful than Manasarobar. Thank you Swami Jee for your finding.
16,Tapowan namak bina vat bill wala resort ko malik jo darsan ko kura garera afno yon lagayat sampurna trisna metne garxa
17,"चोर ,डाका,फटाहा."
18,तपोबनमा भेटिने पोथी जनावर सबैसित याैनानदका लागि बस्ने गरेकोछ ।
19,Such a great interview..
20,Wow amazing interview.
21,https://youtu.be/uZNGGALg02s
22,Well said swami ji. You have a outstanding voice.
23,"Awesome swami ji,"
24,शालिक सुवेदी एकदमै खारिएको पत्रकार हुनुहुदोरहेछ।पछिल्लो समय उहाँले लिएको अन्तर्वार्ता हेर्ने लालसा भइरहन्छ ।
25,चित्तबुझ्यो मेरो।
26,श्वामि ज्यु ब्रम्ह सत्य जगत मिथ्या भन्नु भयो तर जगतको उपभोग त हामी गरिरहेका हुन्छौ यो के हो?अनि यहि जगतको सबै चिज उपयोग गरेर त्यहि शक्तिले ध्यान योग गरेर हामी ब्रम्ह बन्छौ त अनि कसरी जगत मिथ्या भयो?
27,घन्टा  !
28,"Freud's psychoanalytic theories about dream explained well...
sub-conscious mind exists."
29,Happy world meditation day in buddha jyanti
30,great view ...
31,Swami ji lai dherai dherai dherai DHNAYBADH amulya bachan ra samaya ko lagi. Ra sanchalak lai pani dherai dherai dhanyabadh nepal lai jagaunu bhako cha.
32,wow! 💓
33,amazing
